trade_date,account,symbol,action,quantity,trade_currency,trade_price,fees,fx_rate_to_gbp,notes
10/01/2024,IWEB,POET,BUY,100,USD,5.00,5.00,0.79,Initial buy only position
15/02/2024,IWEB,POET,BUY,100,USD,7.00,5.00,0.79,Second buy for Section104 pooling
01/03/2024,IWEB,POET,SELL,50,USD,10.00,5.00,0.78,Partial disposal against Section104 pool
10/04/2024,IWEB,META,BUY,20,USD,400.00,5.00,0.80,Same day matching test buy
10/04/2024,IWEB,META,SELL,20,USD,420.00,5.00,0.80,Same day matching test sell
01/05/2024,IBKR,NVDA,SELL,10,USD,850.00,1.00,0.79,Bed and breakfast disposal
20/05/2024,IBKR,NVDA,BUY,10,USD,820.00,1.00,0.79,Rebuy within 30 days
15/06/2024,IWEB,TSLA,BUY,50,USD,200.00,5.00,0.78,Loss carry forward setup
01/11/2024,IWEB,TSLA,SELL,50,USD,150.00,5.00,0.77,Realised capital loss
10/02/2025,IBKR,AMZN,BUY,30,USD,160.00,1.00,0.79,Partial holdings setup
15/03/2025,IBKR,AMZN,SELL,15,USD,180.00,1.00,0.78,Partial disposal
10/04/2025,IWEB,POET,SELL,50,USD,3.00,5.00,0.80,Realised loss for carried losses
01/05/2025,IBKR,GOOG,BUY,10,USD,150.00,1.00,0.79,Short term trade
02/05/2025,IBKR,GOOG,SELL,10,USD,170.00,1.00,0.79,Short term realised gain
15/01/2026,IBKR,PLTR,BUY,100,USD,20.00,1.00,0.80,Future tax year gain setup
20/02/2026,IBKR,PLTR,SELL,100,USD,35.00,1.00,0.80,Future tax year realised gain
01/01/2024,IBKR,TEST,BUY,100,USD,10,0.12,0.75,pool state test
01/02/2024,IBKR,TEST,SELL,40,USD,12,0.12,0.75,pool state test
05/04/2025,IBKR,ARM,BUY,100,USD,50.00,1.00,0.80,Carried loss setup
15/04/2025,IBKR,ARM,SELL,100,USD,30.00,1.00,0.80,Large realised loss
20/04/2025,IBKR,MSFT,BUY,100,USD,10.00,1.00,0.80,Gain offset by carried loss
01/06/2025,IBKR,MSFT,SELL,100,USD,25.00,1.00,0.80,Gain consumed by prior losses
01/07/2025,IBKR,PLAB,BUY,100,USD,20.00,1.00,0.80,CGT allowance test
01/08/2025,IBKR,PLAB,SELL,100,USD,45.00,1.00,0.80,Gain below annual allowance
01/09/2025,IBKR,UBER,BUY,1000,USD,10.00,1.00,0.80,Basic rate CGT test
01/10/2025,IBKR,UBER,SELL,1000,USD,20.00,1.00,0.80,Gain exceeds allowance
15/10/2025,IBKR,HOOD,BUY,100,USD,10.00,1.00,0.80,Section104 averaging
20/10/2025,IBKR,HOOD,BUY,100,USD,20.00,1.00,0.80,Section104 averaging
25/10/2025,IBKR,HOOD,SELL,100,USD,30.00,1.00,0.80,Average cost verification
01/11/2025,IBKR,INOD,BUY,100,USD,10.00,1.00,0.80,Same day acquisition
01/11/2025,IBKR,INOD,SELL,100,USD,15.00,1.00,0.80,Same day disposal
01/12/2025,IBKR,IBM,SELL,100,USD,25.00,1.00,0.80,30 day matching disposal
20/12/2025,IBKR,IBM,BUY,100,USD,20.00,1.00,0.80,30 day repurchase
01/01/2026,IBKR,INTC,BUY,200,USD,10.00,1.00,0.80,Partial disposal setup
15/01/2026,IBKR,INTC,SELL,50,USD,20.00,1.00,0.80,Partial disposal
20/02/2026,IBKR,INTC,SELL,50,USD,22.00,1.00,0.80,Second partial disposal
01/02/2026,IBKR,LWLG,BUY,100,USD,100.00,1.00,0.80,Large loss scenario
15/02/2026,IBKR,LWLG,SELL,100,USD,40.00,1.00,0.80,Large capital loss
01/03/2026,IBKR,NKE,BUY,500,USD,20.00,1.00,0.80,Gain after losses
20/03/2026,IBKR,NKE,SELL,500,USD,40.00,1.00,0.80,Gain offset by carried losses
01/05/2026,IBKR,INTC,BUY,200,USD,10.00,1.00,0.80,Partial disposal setup
15/05/2026,IBKR,INTC,SELL,50,USD,20.00,1.00,0.80,Partial disposal
20/06/2026,IBKR,INTC,SELL,50,USD,22.00,1.00,0.80,Second partial disposal
01/06/2026,IBKR,LWLG,BUY,100,USD,100.00,1.00,0.80,Large loss scenario
15/06/2026,IBKR,LWLG,SELL,100,USD,40.00,1.00,0.80,Large capital loss
01/07/2026,IBKR,NKE,BUY,500,USD,20.00,1.00,0.80,Gain after losses
20/07/2026,IBKR,NKE,SELL,500,USD,40.00,1.00,0.80,Gain offset by carried losses
